"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-09-07","96.6","-1.81","5.79","Cole, Gerrit",595909,543037,,"called_strike",,,,,"8","Jake Cave strikes out swinging.","R","L","R","NYY","MIN","S",,,"2","0",2022,"-0.8","1.64","-0.06","1.64",,,,"0","7","Top",,,,,"624431",,,6.49052228581407,-140.16425119815193,-9.16703060466214,-12.095605979603903,34.78313440398983,-8.602676472124703,"3.42","1.65",,,,"96.1","2399","6.4",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.09",,,,,,,,"51","3","4-Seam Fastball","4","1","1","4","1","4","1","4","Infield shift","Standard","215","0","-0.055"
"KC","2022-09-07","81.3","-1.95","5.88","Cole, Gerrit",595909,543037,,"ball",,,,,"13","Jake Cave strikes out swinging.","R","L","R","NYY","MIN","B",,,"1","0",2022,"0.92","-1.11","-1.06","1.85",,,,"0","7","Top",,,,,"624431",,,0.24262895528359119,-118.28596175909962,-0.18280837772253777,8.461282076971973,26.4339647513654,-42.628982952918356,"3.32","1.55",,,,"80.5","2762","6.1",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.37",,,,,,,,"51","2","Knuckle Curve","4","1","1","4","1","4","1","4","Infield shift","Standard","39","0","0.061"
"CH","2022-09-07","89.7","-1.88","5.72","Cole, Gerrit",595909,543037,,"ball",,,,,"13","Jake Cave strikes out swinging.","R","L","R","NYY","MIN","B",,,"0","0",2022,"-1.45","0.98","-0.29","1.18",,,,"0","7","Top",,,,,"624431",,,6.9854763528280595,-130.16489635128633,-7.210912771954296,-17.941420679460474,29.923044349119923,-19.667298782864822,"3.39","1.62",,,,"89.4","1734","6.5",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.05",,,,,,,,"51","1","Changeup","4","1","1","4","1","4","1","4","Infield shift","Standard","230","0","0.034"
"FF","2022-09-07","98.9","-1.83","5.77","Cole, Gerrit",664247,543037,"force_out","hit_into_play",,,,,"5","Kyle Garlick grounds into a force out, second baseman Gleyber Torres to shortstop Oswald Peraza.   Gio Urshela out at 2nd.","R","R","R","NYY","MIN","X","4","ground_ball","1","2",2022,"-1.06","1.64","0.24","2.57",,,"570482","2","6","Top",138.51,140.97,,,"624431",,,8.122050355590316,-143.6579511649909,-7.0855769953340495,-16.543837368114865,34.15755580177351,-8.022788470891175,"3.43","1.6","94","98.5","4","98.7","2486","6.3",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.16","0.557","0.532","0","1","0","0","4","46","5","4-Seam Fastball","4","1","1","4","1","4","1","4","Standard","Standard","216","0.021","-0.164"
"FF","2022-09-07","97.9","-1.67","5.82","Cole, Gerrit",664247,543037,,"foul",,,,,"5","Kyle Garlick grounds into a force out, second baseman Gleyber Torres to shortstop Oswald Peraza.   Gio Urshela out at 2nd.","R","R","R","NYY","MIN","S",,,"1","2",2022,"-1.09","1.58","0.17","2.76",,,"570482","2","6","Top",,,,,"624431",,,7.4745759595400525,-142.22971107796008,-6.384141725175416,-16.5353122036535,34.6523570622432,-9.416964237050431,"3.43","1.6","281","86.5","40","97.5","2448","6.3",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.21",,,,,,,,"46","4","4-Seam Fastball","4","1","1","4","1","4","1","4","Standard","Standard","215","0","0"
"FF","2022-09-07","97.8","-1.82","5.79","Cole, Gerrit",664247,543037,,"foul_tip",,,,,"11","Kyle Garlick grounds into a force out, second baseman Gleyber Torres to shortstop Oswald Peraza.   Gio Urshela out at 2nd.","R","R","R","NYY","MIN","S",,,"1","1",2022,"-0.95","1.62","-1.15","4.00",,,"570482","2","6","Top",,,,,"624431",,,4.010483533944233,-142.43990815357992,-3.10310307819671,-13.792591357784007,33.10049598171336,-9.557105771349772,"3.43","1.6",,,,"98.1","2469","6.5",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.05",,,,,,,,"46","3","4-Seam Fastball","4","1","1","4","1","4","1","4","Standard","Standard","214","0","-0.051"
"FC","2022-09-07","90.1","-1.93","5.72","Cole, Gerrit",664247,543037,,"ball",,,,,"14","Kyle Garlick grounds into a force out, second baseman Gleyber Torres to shortstop Oswald Peraza.   Gio Urshela out at 2nd.","R","R","R","NYY","MIN","B",,,"0","1",2022,"0.27","0.45","1.55","0.98",,,"570482","2","6","Top",,,,,"624431",,,8.010773591468677,-130.84823037458085,-6.671700344181053,1.311901463016237,28.707190290438025,-25.777386579732102,"3.42","1.55",,,,"89.4","2559","6.1",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.43",,,,,,,,"46","2","Cutter","4","1","1","4","1","4","1","4","Standard","Standard","166","0","0.027"
"FF","2022-09-07","98.1","-1.86","5.81","Cole, Gerrit",664247,543037,,"called_strike",,,,,"5","Kyle Garlick grounds into a force out, second baseman Gleyber Torres to shortstop Oswald Peraza.   Gio Urshela out at 2nd.","R","R","R","NYY","MIN","S",,,"0","0",2022,"-0.81","1.66","0.14","2.80",,,"570482","2","6","Top",,,,,"624431",,,7.270209330001758,-142.46071107345625,-6.461433729646871,-12.7215769180967,35.20909239775617,-8.216894583212282,"3.39","1.58",,,,"97.9","2382","6.5",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.03",,,,,,,,"46","1","4-Seam Fastball","4","1","1","4","1","4","1","4","Standard","Standard","214","0","-0.037"
"SL","2022-09-07","88.1","-2.06","5.58","Cole, Gerrit",570482,543037,"single","hit_into_play",,,,,"6","Gio Urshela singles on a line drive to right fielder Oswaldo Cabrera.","R","R","R","NYY","MIN","X","9","line_drive","1","2",2022,"0.25","-0.11","0.43","2.22",,,,"2","6","Top",169.23,108.3,,,"624431",,,5.525571186207661,-128.22487038972002,-1.8409533703886687,1.611649970059939,26.82787953311967,-33.20038488523298,"3.44","1.63","210","88.9","13","88.2","2638","6.3",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.16","0.903","0.881","0.9","1","1","0","4","45","5","Slider","4","1","1","4","1","4","1","4","Standard","Standard","98","-0.012","0.151"
"CH","2022-09-07","90.0","-2.07","5.47","Cole, Gerrit",570482,543037,,"foul",,,,,"7","Gio Urshela singles on a line drive to right fielder Oswaldo Cabrera.","R","R","R","NYY","MIN","S",,,"1","2",2022,"-1.52","0.66","-0.46","1.59",,,,"2","6","Top",,,,,"624431",,,7.205069343870251,-130.8130253706931,-5.079693315144599,-18.9423815419214,26.43162339025093,-23.70772037652633,"3.44","1.63","2","75.5","-33","90.2","1756","6.4",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.13",,,,,,,,"45","4","Changeup","4","1","1","4","1","4","1","4","Standard","Standard","244","0","0"
